date,location,sumConfirmed,sumRecovered,symptoms
"2020-01-22 00:00:00","United States",0,0,42.43
"2020-01-23 00:00:00","United States",0,0,41.04
"2020-01-24 00:00:00","United States",0,0,43.83
"2020-01-25 00:00:00","United States",0,0,45.2
"2020-01-26 00:00:00","United States",0,0,47.91
"2020-01-27 00:00:00","United States",0,0,48.72
"2020-01-28 00:00:00","United States",0,0,49.21
"2020-01-29 00:00:00","United States",0,0,49.05
"2020-01-30 00:00:00","United Kingdom",2,0,49.5
"2020-01-30 00:00:00","United States",0,0,54.06
"2020-01-31 00:00:00","United Kingdom",0,0,61.8
"2020-01-31 00:00:00","United States",0,0,50.89
"2020-02-01 00:00:00","United Kingdom",0,0,46.2
"2020-02-01 00:00:00","United States",0,0,46.21
"2020-02-02 00:00:00","United Kingdom",2,0,42.7
"2020-02-02 00:00:00","United States",0,0,42.86
"2020-02-03 00:00:00","United Kingdom",36,0,40.77
"2020-02-03 00:00:00","United States",1,0,44.47
"2020-02-04 00:00:00","United Kingdom",0,0,39.88
"2020-02-04 00:00:00","United States",0,0,44.02
"2020-02-05 00:00:00","United Kingdom",2,0,39.55
"2020-02-05 00:00:00","United States",0,0,43.02
"2020-02-06 00:00:00","United Kingdom",0,0,39.35
"2020-02-06 00:00:00","United States",2,0,42.87
"2020-02-07 00:00:00","United Kingdom",0,0,36.1
"2020-02-07 00:00:00","United States",0,0,40.65
"2020-02-08 00:00:00","United Kingdom",6,0,38.8
"2020-02-08 00:00:00","United States",0,0,42.27
"2020-02-09 00:00:00","United Kingdom",2,0,37.44
"2020-02-09 00:00:00","United States",0,0,41.67
"2020-02-10 00:00:00","United Kingdom",2,0,44.4
"2020-02-10 00:00:00","United States",0,0,42.54
"2020-02-11 00:00:00","United Kingdom",8,0,40.64
"2020-02-11 00:00:00","United States",0,0,41.53
"2020-02-12 00:00:00","United Kingdom",2,0,40.95
"2020-02-12 00:00:00","United States",0,0,39.82
"2020-02-13 00:00:00","United Kingdom",2,0,40.54
"2020-02-13 00:00:00","United States",1,0,38.67
"2020-02-14 00:00:00","United Kingdom",0,0,34.97
"2020-02-14 00:00:00","United States",1,0,34.42
"2020-02-15 00:00:00","United Kingdom",0,0,38.68
"2020-02-15 00:00:00","United States",0,0,38.34
"2020-02-16 00:00:00","United Kingdom",0,0,51.16
"2020-02-16 00:00:00","United States",0,0,40.14
"2020-02-17 00:00:00","United Kingdom",2,0,41.92
"2020-02-17 00:00:00","United States",0,0,40.95
"2020-02-18 00:00:00","United Kingdom",0,0,37.2
"2020-02-18 00:00:00","United States",0,0,40.68
"2020-02-19 00:00:00","United Kingdom",0,0,36.14
"2020-02-19 00:00:00","United States",0,0,38.36
"2020-02-20 00:00:00","United Kingdom",0,0,35.2
"2020-02-20 00:00:00","United States",0,0,36.59
"2020-02-21 00:00:00","United Kingdom",4,0,32.24
"2020-02-21 00:00:00","United States",0,0,34.9
"2020-02-22 00:00:00","United Kingdom",0,0,32.13
"2020-02-22 00:00:00","United States",0,0,36.02
"2020-02-23 00:00:00","United Kingdom",12,0,34.89
"2020-02-23 00:00:00","United States",1,0,37.29
"2020-02-24 00:00:00","United Kingdom",4,0,37.04
"2020-02-24 00:00:00","United States",1,0,38.66
"2020-02-25 00:00:00","United Kingdom",6,0,44.08
"2020-02-25 00:00:00","United States",1,0,43.7
"2020-02-26 00:00:00","United Kingdom",4,0,48.45
"2020-02-26 00:00:00","United States",2,0,47.25
"2020-02-27 00:00:00","United Kingdom",16,0,46.28
"2020-02-27 00:00:00","United States",1,0,49.18
"2020-02-28 00:00:00","United Kingdom",24,0,46.37
"2020-02-28 00:00:00","United States",2,0,45.32
"2020-02-29 00:00:00","United Kingdom",8,0,48.07
"2020-02-29 00:00:00","United States",12,0,47.15
"2020-03-01 00:00:00","New Zealand",0,0,57.28
"2020-03-01 00:00:00","United Kingdom",40,0,50.03
"2020-03-01 00:00:00","United States",26,0,47.47
"2020-03-02 00:00:00","New Zealand",1,0,56.86
"2020-03-02 00:00:00","United Kingdom",82,0,54.41
"2020-03-02 00:00:00","United States",51,0,53.5
"2020-03-03 00:00:00","New Zealand",1,0,58.53
"2020-03-03 00:00:00","United Kingdom",114,0,54.86
"2020-03-03 00:00:00","United States",72,0,51.81
"2020-03-04 00:00:00","New Zealand",2,0,62.11
"2020-03-04 00:00:00","United Kingdom",112,0,56.62
"2020-03-04 00:00:00","United States",108,0,50.75
"2020-03-05 00:00:00","New Zealand",2,0,58.43
"2020-03-05 00:00:00","United Kingdom",98,0,53.23
"2020-03-05 00:00:00","United States",116,0,49.56
"2020-03-06 00:00:00",Australia,4,0,53.34
"2020-03-06 00:00:00","New Zealand",1,0,59.05
"2020-03-06 00:00:00","United Kingdom",166,0,47.1
"2020-03-06 00:00:00","United States",213,0,48.41
"2020-03-07 00:00:00",Australia,18,0,52.97
"2020-03-07 00:00:00","New Zealand",0,0,55.04
"2020-03-07 00:00:00","United Kingdom",136,0,46.27
"2020-03-07 00:00:00","United States",241,0,49.61
"2020-03-08 00:00:00",Australia,11,0,58.47
"2020-03-08 00:00:00","New Zealand",0,0,55.61
"2020-03-08 00:00:00","United Kingdom",110,0,50.02
"2020-03-08 00:00:00","United States",308,0,48.03
"2020-03-09 00:00:00",Australia,19,0,64.57
"2020-03-09 00:00:00","New Zealand",0,0,53.81
"2020-03-09 00:00:00","United Kingdom",296,0,60.64
"2020-03-09 00:00:00","United States",560,0,55.89
"2020-03-10 00:00:00",Australia,33,0,65.23
"2020-03-10 00:00:00","New Zealand",0,0,54.35
"2020-03-10 00:00:00","United Kingdom",530,0,64.7
"2020-03-10 00:00:00","United States",889,0,56.82
"2020-03-11 00:00:00",Australia,19,0,75.66
"2020-03-11 00:00:00","New Zealand",0,0,61.32
"2020-03-11 00:00:00","United Kingdom",806,0,65.43
"2020-03-11 00:00:00","United States",902,0,73.61
"2020-03-12 00:00:00",Australia,43,0,87.88
"2020-03-12 00:00:00","New Zealand",1,0,64.32
"2020-03-12 00:00:00","United Kingdom",968,0,94.89
"2020-03-12 00:00:00","United States",1320,0,86.83
"2020-03-13 00:00:00",Australia,55,0,96.26
"2020-03-13 00:00:00","New Zealand",1,0,71.98
"2020-03-13 00:00:00","United Kingdom",956,0,97.06
"2020-03-13 00:00:00","United States",1660,0,77.7
"2020-03-14 00:00:00",Australia,71,0,90.31
"2020-03-14 00:00:00","New Zealand",1,0,79.23
"2020-03-14 00:00:00","United Kingdom",704,0,98.62
"2020-03-14 00:00:00","United States",1870,0,78.86
"2020-03-15 00:00:00",Australia,70,0,102.8
"2020-03-15 00:00:00","New Zealand",1,0,94.1
"2020-03-15 00:00:00","United Kingdom",882,0,103.09
"2020-03-15 00:00:00","United States",2792,0,77.48
"2020-03-16 00:00:00",Australia,140,0,104.48
"2020-03-16 00:00:00","New Zealand",7,0,96.92
"2020-03-16 00:00:00","United Kingdom",1204,0,122.93
"2020-03-16 00:00:00","United States",3447,0,78.94
"2020-03-17 00:00:00",Australia,143,0,97.55
"2020-03-17 00:00:00",Ireland,74,0,105.36
"2020-03-17 00:00:00","New Zealand",12,0,102.38
"2020-03-17 00:00:00","United Kingdom",1566,0,127.48
"2020-03-17 00:00:00","United States",4295,0,74.93
"2020-03-18 00:00:00",Australia,201,0,88.76
"2020-03-18 00:00:00",Ireland,191,0,92.94
"2020-03-18 00:00:00","New Zealand",5,0,97.48
"2020-03-18 00:00:00","United Kingdom",1960,0,105.91
"2020-03-18 00:00:00","United States",6090,0,77.88
"2020-03-19 00:00:00",Australia,283,28,78.71
"2020-03-19 00:00:00",Ireland,126,0,82.82
"2020-03-19 00:00:00","New Zealand",18,0,86.41
"2020-03-19 00:00:00","United Kingdom",2080,0,83.69
"2020-03-19 00:00:00","United States",8210,0,71.79
