date,location,sumConfirmed,cumulative_persons_fully_vaccinated
"2020-02-25 00:00:00",Brazil,115,0
"2020-02-26 00:00:00",Brazil,219,0
"2020-02-27 00:00:00",Brazil,71,0
"2020-02-28 00:00:00",Brazil,90,0
"2020-02-29 00:00:00",Brazil,39,0
"2020-03-01 00:00:00",Brazil,129,0
"2020-03-02 00:00:00",Brazil,180,0
"2020-03-03 00:00:00",Brazil,136,0
"2020-03-04 00:00:00",Brazil,328,0
"2020-03-05 00:00:00",Brazil,101,0
"2020-03-06 00:00:00",Australia,4,0
"2020-03-06 00:00:00",Brazil,98,0
"2020-03-07 00:00:00",Australia,18,0
"2020-03-07 00:00:00",Brazil,85,0
"2020-03-08 00:00:00",Australia,11,0
"2020-03-08 00:00:00",Brazil,131,0
"2020-03-09 00:00:00",Australia,19,0
"2020-03-09 00:00:00",Brazil,260,0
"2020-03-10 00:00:00",Australia,33,0
"2020-03-10 00:00:00",Brazil,406,0
"2020-03-11 00:00:00",Australia,19,0
"2020-03-11 00:00:00",Brazil,316,0
"2020-03-12 00:00:00",Australia,43,0
"2020-03-12 00:00:00",Brazil,327,0
"2020-03-13 00:00:00",Australia,55,0
"2020-03-13 00:00:00",Brazil,888,0
"2020-03-14 00:00:00",Australia,71,0
"2020-03-14 00:00:00",Brazil,387,0
"2020-03-15 00:00:00",Australia,70,0
"2020-03-15 00:00:00",Brazil,855,0
"2020-03-16 00:00:00",Australia,140,0
"2020-03-16 00:00:00",Brazil,1157,0
"2020-03-17 00:00:00",Australia,143,0
"2020-03-17 00:00:00",Brazil,824,0
"2020-03-18 00:00:00",Australia,201,0
"2020-03-18 00:00:00",Brazil,2425,0
"2020-03-19 00:00:00",Australia,283,0
"2020-03-19 00:00:00",Brazil,1262,0
"2020-03-20 00:00:00",Australia,301,0
"2020-03-20 00:00:00",Brazil,1676,0
"2020-03-21 00:00:00",Australia,410,0
"2020-03-21 00:00:00",Brazil,1136,0
"2020-03-22 00:00:00",Australia,545,0
"2020-03-22 00:00:00",Brazil,1406,0
"2020-03-23 00:00:00",Australia,673,0
"2020-03-23 00:00:00",Brazil,9792,0
"2020-03-24 00:00:00",Australia,784,0
"2020-03-24 00:00:00",Brazil,2088,0
"2020-03-25 00:00:00",Australia,654,0
